estado;title;employer;commune;primary_url;motivo;audit_http_code;found_by_agents;first_seen;last_checked
probable;Trabaja con nosotros (canal permanente de postulación, vendedor/a y jefatura local);Feria Chilena del Libro;No informado;https://feriachilenadellibro.cl/trabaja-con-nosotros/;Indicios de vigencia sin evidencia suficiente: no se pudo reabrir la pagina para confirmar plazo ni mecanismo de postulacion.;000;D;2026-07-27;2026-07-27T12:30:00-04:00
probable;Plataforma de postulaciones para reemplazos y contratas;Servicio Local de Educación Pública Andalién Costa;San Pedro de la Paz (y Coronel, Lota, Santa Juana);https://slepandaliencosta.gob.cl/trabaja-con-nosotros/;Indicios de vigencia sin evidencia suficiente: no se pudo reabrir la pagina para confirmar plazo ni mecanismo de postulacion.;000;A;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Evaluador(a) de la Agencia de Calidad de la Educación;Agencia de Calidad de la Educación;No informado;https://www.empleospublicos.cl/pub/convocatorias/avisotrabajoficha.aspx?i=89253;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;A;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Evaluadores/as de la Agencia de Calidad de la Educación;Agencia de Calidad de la Educación (Chile);No informado;https://www.empleospublicos.cl/pub/convocatorias/convFicha.aspx?i=23995&c=0&j=0&tipo=avisotrabajoficha;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;A,B;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Mediador/a de Lectura;Biblioteca Viva Trébol;Talcahuano;https://bibliotecaviva.cl/trabaja-con-nosotros-bv-trebol-busca-mediador-de-lectura/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;D;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Encargado/a Biblioteca CRA (publicado en grupo Facebook 'Bolsa de Trabajo Bibliotecas');Colegio (nombre no confirmado en la síntesis disponible);No informado;https://www.facebook.com/groups/bolsatrabajobiblio/posts/2014738612256996/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;D;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Encargado/a de Biblioteca CRA (40 hrs);Colegio no identificado con certeza (ficha agregador concetrabajos.cl, referencia cruzada menciona estándares CRA Mineduc, otra búsqueda asoció un perfil similar a 'Colegio Andrés Bello', sin confirmación);Concepción;https://www.concetrabajos.cl/trabajo/encargado-a-de-biblioteca-cra-40-hrs-3196667;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;D;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Vendedor/a en local comercial (librería);Comercial Espiral Limitada (librería, Galería Alessandri, Aníbal Pinto 450, local 90);Concepción;https://cl.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vendedora-en-local-comercial-libreria-horario-completo-en-concepcion-3b3ee47de6e90c7361373e686dcf3405;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;D;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Educadora de Párvulos;Corporación Educacional (nombre exacto no confirmado);San Pedro de la Paz;https://cl.trabajosdiarios.com/trabajo/2223870/educadora-de-parvulos-en-biobio;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;C;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Proceso de postulación a Evaluador/a Par (última convocatoria localizada: 2023);CPEIP (Ministerio de Educación) / DocenteMás;Nacional (aplica en la medida que la candidata ejerza en un establecimiento de la zona);https://www.cpeip.cl/tag/evaluador-par/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;A;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Base de datos 2025, Educadoras de Párvulos, Provincia de Concepción, Región del Biobío;Fundación Integra;Provincia de Concepción (incluye potencialmente Concepción, Chiguayante, Hualqui, Talcahuano, Hualpén, San Pedro de la Paz, Penco);https://login.airavirtual.com/postula/j3ZkHqmHSmAwEdJ4I1Ab;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;A;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Base de Datos Reemplazos Asistente de Extensión Horaria para Jardines Infantiles de Concepción;Fundación Integra;Concepción;https://login.airavirtual.com/postula/g03WhUn2RQzhvjlviVCc;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;A;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Reemplazo Educadora de Párvulos - Sala Cuna Aitué (aprox. 1 mes);Fundación Integra (S.C. Aitué);San Pedro de la Paz;https://www.integra.cl/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;C;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Educadora de Párvulos (y Lenguaje y Comunicación) - red de colegios;Fundaciones Educacionales Colegios del Arzobispado de la Ssma. Concepción (Fundación Educacional Cristo Rey / Fundación Educacional La Asunción);Concepción;https://www.colegiosarzobispado.cl/trabaja-con-nosotros/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;C;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Diseñador Instruccional para Cursos Virtuales;Ingeniería Greywater SpA;No informado;https://www.getonbrd.com/jobs/education-coaching/disenador-instruccional-para-cursos-virtuales-ingenieria-greywater-spa-santiago;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;C;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Educadora de Párvulos Jardín Infantil y Sala Cuna Alborada;Jardín Infantil y Sala Cuna Alborada;No informado;https://www.laborum.cl/empleos/educadora-de-parvulos-jardin-infantil-y-sala-cuna-jardin-infantil-y-sala-cuna-alborada-1117037779.html;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;C;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Ranking: Educadora de Párvulos, varias comunas, Región del Bio Bío;JUNJI (Junta Nacional de Jardines Infantiles), Dirección Regional Biobío;Varias comunas Región del Biobío (No informado cuáles específicamente);https://junji.myfront.cl/oferta-de-empleo/6835/ranking-educadora-de-parvulos-varias-comunas-region-del-bio-bio-2/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;A;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Encargada de Jardín Infantil UBB Collao, comuna de Concepción;JUNJI, Región del Biobío;Concepción;https://junji.myfront.cl/oferta-de-empleo/3899/encargada-de-jardin-infantil-ubb-collao-comuna-de-concepcion-region-del-bio-bio/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;A;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Traslado: Educadora de Párvulos, JI Magallanes, comuna Concepción;JUNJI, Región del Biobío;Concepción;https://junji.myfront.cl/oferta-de-empleo/8292/traslado-educadora-de-parvulos-ji-magallanes-comuna-concepcion-region-del-biobio/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;A;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Reemplazo Educadora Diferencial, Programa Atención Temprana, Concepción;JUNJI, Región del Biobío;Concepción;https://junji.myfront.cl/oferta-de-empleo/12280/reemplazo-educadora-diferencial-programa-atencion-temprana-concepcion-region-del-biobio/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;A;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Trabaja con nosotros (canal permanente de postulación);Librería Antártica;No informado;https://www.antartica.cl/trabaja-con-nosotros;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;D;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Cajero-Reponedor;Librería Giorgio;Concepción;https://www.libreriagiorgio.cl/index.php/Inicio/Trabaje_con_nosotros;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;C,D;2026-07-27;2026-07-27T12:30:00-04:00
